"Symbol";"Value";"Unit";
"ATT_0173_1_02_AAN489_006";"Assembly";"";
"TraceParts.PartVersion";"1.2.2";"";
"SUPPLIER";"Phoenix Contact";"";
"TraceParts.PartLanguage";"en";"";
"ATT_0173_1_02_BAA351_017";"blue";"";
"TraceParts.PartTitle";"PTFIX 12X2,5 BU";"";
"ATT_0173_1_02_AAN520_003";"0";"";
"TraceParts.PartNumber";"90-06102021-042188";"";
"ATT_0173_1_02_BAF016_006";"31.5";"";
"ATT_0173_1_02_BAC140_009";"V0";"";
"DESIGN";"Distribution block";"";
"TraceParts.InstanceId";"90-06102021-0421886LIWUKS0CMD9DNV55KPDKPUNA";"";
"ATT_0173_1_02_AAO663_003";"4055626392103";"";
"ATT_0173_1_02_AAF040_007";"0.02288";"";
"TRACEPARTS";"TRACEPARTS";"";
"ATT_0173_1_02_BAC034_011";"Push-in connection";"";
"REFERENCE";"3273288";"";
"ATT_0173_1_02_BAA020_010";"28.6";"";
"ATT_0173_1_02_AAN483_003";"enveloping body cuboid";"";
"ATT_0173_1_02_BAB577_008";"21.7";"";
"ATT_0173_1_02_BAC487_015";"PA";"";
"ATT_0173_1_02_AAP403_002";"12";"";
