"Symbol";"Value";"Unit";
"REFERENCE";"1786190";"";
"ATT_0173_1_02_BAB392_017";"CSA, cULus Recognized, VDE Zeichengenehmigung";"";
"SUPPLIER";"PHOENIX CONTACT";"";
"TraceParts.PartLanguage";"en";"";
"ATT_0173_1_02_AAP798_001";"IEC 61984";"";
"ATT_0173_1_02_BAC739_007";"0.2";"";
"ATT_0173_1_02_BAC676_007";"2.5";"";
"ATT_0173_1_02_BAC740_007";"0.2";"";
"ATT_0173_1_02_AAN520_003";"0";"";
"TraceParts.PartNumber";"10-23122020-039244";"";
"ATT_0173_1_02_BAF016_006";"21.82";"";
"ATT_0173_1_02_BAC140_009";"V0";"";
"DESIGN";"PCB connector";"";
"TraceParts.InstanceId";"10-23122020-039244C9KATARARL4KTGNH4GS2GD7GR";"";
"ATT_0173_1_02_AAO663_003";"4017918042349";"";
"ATT_0173_1_02_AAF040_007";"0.00674";"";
"TRACEPARTS";"TRACEPARTS";"";
"TraceParts.PartTitle";"IC 2,5/ 4-ST-5,08";"";
"ATT_0173_1_02_BAC677_007";"2.5";"";
"ATT_0173_1_02_BAA020_010";"15";"";
"TraceParts.PartVersion";"1.1.14";"";
"ATT_0173_1_02_BAB577_008";"19.2";"";
