"Symbol";"Value";"Unit";
"REFERENCE";"1757035";"";
"ATT_0173_1_02_BAB392_017";"IEC 61984";"";
"SUPPLIER";"Phoenix Contact";"";
"TraceParts.PartLanguage";"en";"";
"ATT_0173_1_02_AAP798_001";"IEC 61984";"";
"ATT_0173_1_02_BAC739_007";"0.2";"";
"ATT_0173_1_02_BAC676_007";"2.5";"";
"ATT_0173_1_02_BAC740_007";"0.2";"";
"ATT_0173_1_02_AAN520_003";"0";"";
"TraceParts.PartNumber";"10-22122020-111303";"";
"ATT_0173_1_02_BAF016_006";"20.32";"";
"ATT_0173_1_02_BAC140_009";"V0";"";
"DESIGN";"PCB connector";"";
"TraceParts.InstanceId";"10-22122020-111303BTBKCJC14ES1V3AR7AWN9TNEU";"";
"ATT_0173_1_02_AAO663_003";"4017918029562";"";
"ATT_0173_1_02_AAF040_007";"0.00662";"";
"TRACEPARTS";"TRACEPARTS";"";
"TraceParts.PartTitle";"MSTB 2,5/ 4-ST-5,08";"";
"ATT_0173_1_02_BAC677_007";"2.5";"";
"ATT_0173_1_02_BAA020_010";"15";"";
"TraceParts.PartVersion";"1.1.6";"";
"ATT_0173_1_02_BAB577_008";"18.3";"";
